Name,Type,County,Government,Population,Area_Total_sq_mi,Area_Land_sq_mi,Year_Incorporated
Winchester,Town,Middlesex,Representative town meeting,22970,6.3,6.0,1850
Westborough,Town,Worcester,Open town meeting,21567,21.6,20.5,1717
Gardner,City,Worcester,Mayor-Council,21287,23.0,22.1,1785
Ludlow,Town,Hampden,Representative town meeting,21002,28.2,27.2,1775
Bourne,Town,Barnstable,Open town meeting,20452,52.9,40.7,1884
Marblehead,Town,Essex,Open town meeting,20441,19.6,4.4,1629
Sandwich,Town,Barnstable,Open town meeting,20259,44.2,42.7,1638
Hudson,Town,Middlesex,Open town meeting,20092,11.8,11.5,1866
Holden,Town,Worcester,Open town meeting,19905,36.2,35.0,1741
Grafton,Town,Worcester,Open town meeting,19664,23.3,22.7,1735
Winthrop,City,Suffolk,Manager-Council,19316,8.3,2.0,1852
Norton,Town,Bristol,Open town meeting,19202,29.8,28.7,1711
Scituate,Town,Plymouth,Open town meeting,19063,31.8,17.6,1636
Sudbury,Town,Middlesex,Open town meeting,18934,24.6,24.4,1639
Ashland,Town,Middlesex,Open town meeting,18832,12.9,12.4,1846
Hopkinton,Town,Middlesex,Open town meeting,18758,28.2,26.6,1715
Foxborough,Town,Norfolk,Open town meeting,18618,20.9,20.1,1778
Sharon,Town,Norfolk,Open town meeting,18575,24.2,23.3,1775
Concord,Town,Middlesex,Open town meeting,18491,25.9,24.9,1635
Pembroke,Town,Plymouth,Open town meeting,18361,23.5,21.8,1712
Somerset,Town,Bristol,Open town meeting,18303,12.0,8.1,1790
Newburyport,City,Essex,Mayor-Council,18289,10.7,8.3,1764
South Hadley,Town,Hampshire,Representative town meeting,18150,18.4,17.7,1775
Rockland,Town,Plymouth,Open town meeting,17803,10.1,10.0,1874
Webster,Town,Worcester,Open town meeting,17776,14.5,12.5,1832
Greenfield,City,Franklin,Mayor-Council,17768,21.9,21.4,1775
Southbridge,City,Worcester,Manager-Council,17740,20.9,20.2,1816
Amesbury,City,Essex,Mayor-Council,17366,13.7,12.3,1668
Swansea,Town,Bristol,Open town meeting,17144,25.5,23.1,1667
Abington,Town,Plymouth,Open town meeting,17062,9.9,9.7,1712
Bellingham,Town,Norfolk,Open town meeting,16945,19.0,18.5,1719
Auburn,Town,Worcester,Representative town meeting,16889,16.4,15.4,1778
East Longmeadow,City,Hampden,Manager-Council,16430,13.0,13.0,1894
Westport,Town,Bristol,Open town meeting,16339,64.4,50.1,1787
Northbridge,Town,Worcester,Open town meeting,16335,18.1,17.2,1775
Westwood,Town,Norfolk,Open town meeting,16266,11.1,11.0,1897
Easthampton,City,Hampshire,Mayor-Council,16211,13.6,13.3,1809
Duxbury,Town,Plymouth,Open town meeting,16090,37.6,23.8,1637
Fairhaven,Town,Bristol,Representative town meeting,15924,14.1,12.4,1812
Longmeadow,Town,Hampden,Open town meeting,15853,9.7,9.1,1783
Northborough,Town,Worcester,Open town meeting,15741,18.8,18.5,1775
North Reading,Town,Middlesex,Open town meeting,15554,13.5,13.3,1853
Seekonk,Town,Bristol,Open town meeting,15531,18.3,18.2,1812
Clinton,Town,Worcester,Open town meeting,15428,7.3,5.7,1850
Belchertown,Town,Hampshire,Open town meeting,15350,55.4,52.7,1761
Raynham,Town,Bristol,Open town meeting,15142,20.9,20.5,1731
Whitman,Town,Plymouth,Open town meeting,15121,7.1,7.0,1875
Swampscott,Town,Essex,Representative town meeting,15111,6.7,3.1,1852
Mashpee,Town,Barnstable,Open town meeting,15060,27.2,23.4,1870
